StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
991,158,346,Pajares,1996,-0.590,231,-0.677666068,0.004385965,0.066226618,-999,-999,1,3,2,2,-999,7,1,-999.00,4,7,0
991,158,347,Pajares,1996,-0.420,231,-0.447692024,0.004385965,0.066226618,-999,-999,1,3,2,2,-999,7,1,-999.00,5,7,0
991,159,348,Pajares,1996,-0.400,66,-0.423648930,0.015873016,0.125988158,-999,-999,1,3,2,2,-999,7,1,-999.00,5,7,0
991,159,349,Pajares,1996,-0.540,66,-0.604155603,0.015873016,0.125988158,-999,-999,1,3,2,2,-999,7,1,-999.00,4,7,0
992,160,350,Finney & Schraw,2003,-0.270,103,-0.277942770,0.010000000,0.100000000,-999,-999,1,5,2,2,-999,-999,2,3.00,3,-999,0
992,160,351,Finney & Schraw,2003,-0.470,103,-0.508787577,0.010000000,0.100000000,-999,-999,1,5,2,2,-999,-999,2,3.00,4,8,0
994,161,352,Pajares & Graham,1999,-0.320,273,-0.331647109,0.003703704,0.060858062,-999,2,1,3,2,2,-999,7,1,-999.00,3,-999,0
994,161,353,Pajares & Graham,1999,-0.350,273,-0.365443754,0.003703704,0.060858062,-999,2,1,3,2,2,-999,7,1,-999.00,2,-999,0
994,161,354,Pajares & Graham,1999,-0.400,273,-0.423648930,0.003703704,0.060858062,-999,2,1,3,2,2,-999,7,1,-999.00,3,-999,0
994,161,355,Pajares & Graham,1999,-0.410,273,-0.435611223,0.003703704,0.060858062,-999,2,1,3,2,2,-999,7,1,-999.00,2,-999,0
995,162,356,Skaalvik,2002,-0.270,295,-0.276863823,0.003424658,0.058520574,-999,-999,3,3,2,2,-999,10,1,1.00,5,-999,0
996,163,357,Vidovic,1999,-0.380,175,-0.400059650,0.005813953,0.076249285,-999,-999,3,3,2,2,6,-999,1,-999.00,4,-999,0
999,164,358,Otts,2010,-0.220,117,-0.221555354,0.008771930,0.093658581,-999,2,1,5,2,2,-999,3,1,-999.00,4,-999,1
1004,165,359,Ganley & Vasilyeva,2011,-0.370,67,-0.393065551,0.015625000,0.125000000,0,1,1,3,2,2,-999,3,1,-999.00,1,-999,0
1004,166,360,Ganley & Vasilyeva,2011,-0.410,47,-0.432010329,0.022727273,0.150755672,1,1,1,3,2,2,-999,3,1,-999.00,1,-999,0
1004,166,361,Ganley & Vasilyeva,2011,-0.380,47,-0.398891398,0.022727273,0.150755672,1,1,1,3,2,2,-999,3,1,-999.00,4,-999,0
1004,165,362,Ganley & Vasilyeva,2011,-0.480,67,-0.524284466,0.015625000,0.125000000,0,1,1,3,2,2,-999,3,1,-999.00,4,-999,0
